wavelength(nm),Kappa_12,Kappa_21
1480.0,439.774687+0.005324j,435.281681+0.005306j
1490.0,469.576581+0.006632j,464.828161+0.006610j
1500.0,500.728045+0.008222j,495.716189+0.008194j
1510.0,533.296631+0.010147j,528.013009+0.010114j
1520.0,567.304334+0.012469j,561.740723+0.012429j
1530.0,602.712651+0.015253j,596.861453+0.015204j
1540.0,639.452446+0.018567j,633.306934+0.018508j
1550.0,677.609340+0.022504j,671.162322+0.022433j
1560.0,717.227700+0.027165j,710.471901+0.027081j
1570.0,758.368410+0.032668j,751.296352+0.032568j
1580.0,800.944828+0.039126j,793.550029+0.039007j
1590.0,844.954460+0.046673j,837.230731+0.046533j
1600.0,890.391940+0.055459j,882.333405+0.055294j
1610.0,937.264960+0.065650j,928.865954+0.065458j
1620.0,985.695629+0.077458j,976.949833+0.077233j
1400.0,265168.994990+0.000000j,274445.371323+0.000000j
1410.0,261317.655723+0.000000j,270329.281701+0.000000j
1420.0,257497.800979+0.000000j,266252.045422+0.000000j
1430.0,253710.513727+0.000000j,262214.592955+0.000000j
1440.0,249956.400087+0.000000j,258217.336551+0.000000j
1450.0,246236.004708+0.000000j,254260.631117+0.000000j
1460.0,242546.601152+0.000000j,250341.271223+0.000000j
1470.0,238890.610982+0.000000j,246461.694157+0.000000j
1480.0,235273.054947+0.000000j,242627.073545+0.000000j
1490.0,231690.772979+0.000000j,238833.849668+0.000000j
1500.0,228144.056735+0.000000j,235082.144958+0.000000j
1510.0,224630.683184+0.000000j,231369.375130+0.000000j
1520.0,221150.853927+0.000000j,227695.595681+0.000000j
1530.0,217707.553628+0.000000j,224063.853916+0.000000j
1540.0,214307.277904+0.000000j,220480.842003+0.000000j
1550.0,210943.303709+0.000000j,216939.295852+0.000000j
1560.0,207614.134279+0.000000j,213437.464210+0.000000j
1570.0,204317.731022+0.000000j,209973.033524+0.000000j
1580.0,201057.765795+0.000000j,206549.798883+0.000001j
1590.0,197834.225884+0.000000j,203167.612766+0.000001j
1600.0,194647.072365+0.000001j,199826.305019+0.000001j
1610.0,191495.704211+0.000001j,196525.113600+0.000002j
1620.0,188375.754701+0.000001j,193259.290683+0.000002j
1630.0,185291.969782+0.000002j,190033.768162+0.000003j
1640.0,182244.223534+0.000002j,186848.301819+0.000004j
1650.0,179232.369701+0.000003j,183702.630318+0.000005j
1660.0,176256.242653+0.000004j,180596.476090+0.000007j
1670.0,173315.268955+0.000005j,177529.082357+0.000009j
1680.0,170409.900904+0.000007j,174500.886951+0.000012j
1690.0,167538.983383+0.000009j,171510.591306+0.000016j
1700.0,164705.266006+0.000012j,168560.969905+0.000021j
